Acólito;1d8;8+Cons;5;Armaduras leves, Armaduras médias, Escudos, Armas Simples;null;Sabedoria, Carisma;2 Escolher,História,Intuição,Medicina,Persuasão,Religião;Maça ou Martelo leve ou Espada Longa,Iórica de Escamas ou Armaduras de Couro ou Cota de Malha(se for proficiente),Besta Leve e 20 Virotes ou Arma Simples,Conjunto de sacerdote ou Conjunto de aventureiro,Escudo e um Símbolo sagrado;10+Sab;2+Sab;Rito da Essência Feral,Rito das Estrelas,Rito da Forja,Rito da Lua,Rito das Marés,Rito de Nagácaburos,Rito da Natureza,Rito da Sepultura,Rito do Sol,Rito da Tempestade;null;null
Arcano;1d6;6+Cons;4;Adagas, Dardos, Fundas, Bastões, Bestas Leves;null;Carisma e Inteligência;2 Escolher,Arcanismo,Enganação,Intuição,Intimidação,Persuasão,Religião;Besta Leve e 20 virotes ou Arma Simples,Bolsa de Componentes ou Foco Arcano,Conjunto de Explorador de Masmorras ou Conjunto de Aventureiro;10+Arcano;2+Arcano;Primitiva,Rúnica,Espiritual;Erudito,Intuitivo;null
Atirador;1d8;8+Cons;5;Armaduras leves,Armas simples,Armas de fogo;Armeiro;Destreza e Sabedoria;2 Escolher,Acrobacia,Intuição,Investigação,História,Percepção,Prestidigitação,Furtividade,Sobrevivência;Pistola pederneira ou Mosquete ou Espingarda ou Canhão de mão, Pacote de Explorador ou Pacote de aventureiro, Armadura de Couro, Ferramentas de armeiro, 30 munições;null;null;Trilha do Desesperado,Trilha do Vanator,Trilha do Ravasz;null;Armeiro, Astra, Bravuta
Bodisatva;1d10;10+Cons;6;Armas simples, Espadas curtas,Armas Ninja ;Artesão ou Musicais;Força e Sabedoria;3 Escolher,Acrobacia,Atletismo,Furtividade,História,Intimidação,Intuição,Medicina,Natureza,Percepção,Persuasão,Prestidigitação,Religião,Sobrevivência;Espada curta ou Arma simples, Arma Ninja ou Arma bodisatva, Conjunto de Explorador de masmorras ou Conjunto de Aventureiro ou Conjunto de Sacerdote,10 Dardos ou 10 Shurikens ;10+Sab;null;null;null;Defesa Sem Armadura, Refinamento de Ki, Sutra
Bruto;1d12;12+Cons;7;Armaduras leves, médias e escudos, Armas simples, Armas marciais;null;Força e Constituição;2 Escolher,Atletismo,Intimidação,Lidar com Animais,Natureza,Percepção,Sobrevivência;Machado grande ou Arma marcial corpo a corpo, Duas machadinhas ou Arma Simples, conjunto de aventureiro e quatro azagaias;null;null;Anima do Andarilho Espiritual,Anima das Cicatrizes Rúnicas,Anima do Berserker,Anima de Lutador;null;Fúria, Defesa sem Armadura
Caçador;1d10;10+Cons;6;Armaduras leves, Armaduras médias, Escudos, Armas Simples, Armas Marciais;null;Destreza e Sabedoria;3 Escolher,Atletismo,Furtividade,Intuição,Investigação,Lidar com Animais,Natureza,Percepção,Sobrevivência;Armadura de couro ou uma lórica de escamas, duas espadas curtas ou duas armas simples corpo a corpo,conjunto de aventureiro ou conjunto de explorador de masmorras,um arco e uma aljava com 20 flechas;null;null;Amigo das Feras,Mestre da Caça,Vigia,Arqueiro Rúnico;null;Inimigo Favorito, Explorador Natural
Combatente;1d10;10+Cons;6;Todas as armaduras e escudos, Armas simples e Marciais;null;Força e Constituição;2 Escolher,Atletismo,História,Intimidação,Intuição,Lidar com Animais,Percepção,Sobrevivência;Cota de malha ou Armadura de couro Arco longo e 20 flechas, Arma marcial e um Escudo leve ou duas Armas marciais, Besta leve e 20 virotes ou duas machadinhas, Conjunto de aventureiro ou conjunto de explorador de masmorras;8+For ou Des;null;Honra do Armestre,Guardião,Strategos;null;Estilo de Luta, Retomar o Fólego, Técnicas de Combate
Mercurial;1d8;8+Cons;5;Armaduras leves, Armas simples, Besta leve, Espada Longa, Rapieira, Espada Curta;Chaveiro;Destreza e Inteligência;4 Escolher,Acrobacia,Atletismo,Enganação,Intuição,Investigação,Percepção,Atuação,Persuasão,Prestidigitação,Furtividade;Rapieira ou Espada curta,Arco curto e Aljava com 20 flechas ou Espada Curta,Conjunto de assaltante ou Conjunto de explorador de masmorras ou Conjunto de aventureiro, Armadura de couro, duas adagas, ferramentas de chaveiro;null;null;Ás Rúnico,Assassino,Explorador,Trapaceiro Rúnico;null;Especialização, Ataque Furtivo
Ninja;1d8;8+Cons;5;Armaduras leves, Armas simples, Armas marciais à distância e armas de ninja;Chaveiro, Venefício;Destreza e Sabedoria;4 Escolher,Acrobacia,Atletismo,Furtividade,Intuição,Investigação,Natureza,Percepção,Prestidigitação,Sobrevivência;Katana ou Wakisashi ou Kama 30 Shurikens,Wakisashi ou Arma marcial à distância ou 5 Kunais,Conjunto de assaltante ou Conjunto de explorador de masmorras ou Conjunto de ninja;10+Sab;null;Ordem Kinkou,Ordem das Sombras;null;Ki, Sutra
Peregrino;1d8;8+Cons;5;Armaduras leves, Armas simples, Besta de mão, Espadas longas, Rapieiras ,Espadas Curtas;3 Musicais;Destreza e Carisma;3;Rapieira ou Espada Longa ou Arma Simples,Conjunto de diplomata ou Conjunto de artista,Alaúde ou instrumento musical,Armadura de couro e Adaga;10+Car;2+Car;Nébula da Dança,Nébula da Proteção,Nébula do Som;null;Inspiração Estelar
Tecmaturgo;1d6;6+Cons;4;Armaduras leves, Armas simples, Todas as bestas e bestas de repetição,Armas de fogo leves ou Armas de fogo médias ou Armas de fogo Longas ou Canhões ou Lança-Chamas;Inventor,2 Escolher,Falsificador,Cartógrafo,Entalhador,Funileiro,Joalheiro,Pedreiro,Sapateiro,Tecelão,Vidreiro,Pintor;Constituição e Inteligência;Tecnologia,3 Escolher,Arcanismo,Atuação,História,Intuição,Investigação,Medicina,Natureza,Percepção,Prestidigitação;Martelo leve ou Adaga, Besta leve e 10 virotes ou 10 dardos,Conjunto de aventureiro ou Conjunto de explorador de masmorras,Armadura de couro ou Escolher 2 ou Estojo de Veneno| ou Ferramentas de Armeiro| ou Ferramentas de Entalhador| ou Ferramentas de Coureiro| ou Ferramentas de Ferreiro| ou Ferramentas de Funileiro| ou Ferramentas de Inventor|;10+Int;2+Int;Alquimia,Armas,Armaduras,Máquinas,Mechas;null;Reator, Energia, Dispositivo, Competência
null;null;null;null;null;null;null;null;null;null;null;null;null;null